Series,platform,number,link,clinical
TCGA,HiSeq,1097,https://figshare.com/s/6fca1467481b623df382,
GSE6532,GPL570,87,https://figshare.com/s/8ce2ee7a15781fd1a823,https://figshare.com/s/9c910f35bd4525fa843d
GSE9195,GPL570,77,https://figshare.com/s/ea86f50e6df67e81b873,https://figshare.com/s/c3a01c5e223dcf6bda1d
GSE19615,GPL570,115,https://figshare.com/s/ebcdca4cea7b8a6b04eb,https://figshare.com/s/eb433e81f3d653c9612c
GSE21653,GPL570,266,https://figshare.com/s/068587b0a9e35dc87662,https://figshare.com/s/fa5aefca3e26677e82ab
GSE42568,GPL570,104,https://figshare.com/s/e8d942c99b58e274bb13,https://figshare.com/s/af0685cf176d9dd49d90
GSE48390,GPL570,81,https://figshare.com/s/768a0fa3c3b1945122eb,https://figshare.com/s/2a5395235ad40c69b042
GSE58812,GPL570,107,https://figshare.com/s/96ba848f8b005c41cca0,https://figshare.com/s/f7dcfc319dcccdaee9b1
GSE76275,GPL570_NoCLinic,265,https://figshare.com/s/739d6851bc09cba9e4c4,
GSE17907,GPL570,51,https://figshare.com/s/ef7991fd688020d3fd0a,https://figshare.com/s/b41b1ba1070beb147aa7
GSE20711,GPL570,88,https://figshare.com/s/cba31601d00490352d16,https://figshare.com/s/2e23c07a5334ed5f234c
GSE20685,GPL570,327,https://figshare.com/s/3ed4616caded4bb0fdfa,https://figshare.com/s/21d9a5d98b8fb148dcda
GSE71258,GPL570_NoCLinic,128,https://figshare.com/s/56c908c3316d4ce0d9aa,
GSE61304,GPL570,58,https://figshare.com/s/5ecca0a64d7fdf56ecd8,https://figshare.com/s/cfc2ab6145994d4a2c48
GSE58984,GPL570,94,https://figshare.com/s/417b51f20488773a6cee,https://figshare.com/s/2705804a4e035c36489f
GSE1456,GPL96,159,https://figshare.com/s/bafd83e3a05891a16333,https://figshare.com/s/1db5d26cb552dffabb9a
GSE2034,GPL96,286,https://figshare.com/s/04582b11b20840b7742f,https://figshare.com/s/65aa6b6cbbe3185d1e0b
GSE5327,GPL96,58,https://figshare.com/s/05a8cc6928e66cc05f9b,https://figshare.com/s/f73ee739bce0aa0e05ce
GSE2603,GPL96,82,https://figshare.com/s/7fb6fcc0b3cf42eb162d,https://figshare.com/s/5eb8dc2011985f3cbb58
GSE2990,GPL96,189,https://figshare.com/s/432be6a4d65d0ebfb31a,https://figshare.com/s/626b79cee324bdf157f9
GSE3494,GPL96,251,https://figshare.com/s/839e14c9c7209e5085b7,https://figshare.com/s/a129580e667b0517fa5e
GSE6532,GPL96,327,https://figshare.com/s/4cb3fa983573375ac1e8,https://figshare.com/s/9c910f35bd4525fa843d
GSE7390,GPL96,198,https://figshare.com/s/752573b70e4bfd8e0ab6,https://figshare.com/s/0108dbc762a200511506
GSE11121,GPL96,200,https://figshare.com/s/cc2a665e96edaadfb304,https://figshare.com/s/0ec6aa5c6200abbe6793
GSE12093,GPL96,136,https://figshare.com/s/b21fce9e26d31fc2c008,https://figshare.com/s/b317e7360186503d28fa
GSE17705,GPL96,298,https://figshare.com/s/a33c990547f3253039e6,https://figshare.com/s/5ac432bfd356da715156
GSE25055,GPL96,310,https://figshare.com/s/0ea943f6b4f5e9f5437c,
GSE25065,GPL96,198,https://figshare.com/s/79290114dcb1d548bcbd,
GSE25066,GPL96,508,https://figshare.com/s/8b9f3eea5bd02939e1cf,
GSE37181,Other,123,,
GSE48408,Other,164,,
GSE53031,Other,113,,
GSE76250,Other,165,,
GSE86166,Other,366,,
